date,startup,vertical,subvertical,city,investors,round,amount,month,year
2018-11-23,Signzy,financial tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3.4,11,2018
2018-11-24,Engineer.ai,software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29.5,11,2018
2018-11-25,InCred Finance,finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42.0,11,2018
2018-11-25,Roposo,social media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1.7,11,2018
2018-10-02,Origo Commodities India Pvt. Ltd,logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11.0,10,2018
2018-10-04,Grover Zampa,food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8.2,10,2018
2018-10-05,Droom,automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3.0,10,2018
2018-10-11,Innov8,real estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4.0,10,2018
2018-10-12,Blackbuck,logistics tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14.68,10,2018
2018-10-12,LetsTransport,logistics tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12.0,10,2018
2018-09-01,Netmeds,consumer internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35.0,9,2018
2018-09-03,Udaan,b2b platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225.0,9,2018
2018-09-03,Daily hunt,consumer internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6.39,9,2018
2018-09-04,3HCare,healthcare,Healthcare Service Provider,Delhi,Undisclosed,Seed / Angel Funding,1.0,9,2018
2018-09-05,Nykaa,consumer internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157.2,9,2018
2018-09-06,Dream11,consumer internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100.0,9,2018
2018-09-10,MamaEarth,healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4.0,9,2018
2018-09-11,AutoGrid,technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32.0,9,2018
2018-09-11,Pharmeasy,consumer internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5.5,9,2018
2018-09-11,Upwards,fintech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5.0,9,2018
2018-09-12,Kissht,fintech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30.0,9,2018
2018-08-01,dishq,foodtech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,0.4,8,2018
2018-08-02,Samosa Labs,consumer internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7.0,8,2018
2018-08-03,ZiffyHomes,consumer internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.12,8,2018
2018-08-07,My OmNamo,consumer internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undisclosed,Seed/ Angel Funding,1.0,8,2018
2018-08-07,ShopX,consumer internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35.0,8,2018
2018-08-07,MakeMyTrip,consumer internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10.0,8,2018
2018-08-08,Hansel io,consumer internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4.0,8,2018
2018-08-08,Metro Bikes,consumer internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12.2,8,2018
2018-08-08,Phone Pe,consumer internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66.0,8,2018
2018-08-09,quizizz,edtech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3.0,8,2018
2018-08-09,Happy EMI,fintech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1.0,8,2018
2018-08-13,Inthree,consumer internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4.0,8,2018
2018-08-13,Observe AI,technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8.0,8,2018
2018-08-16,Enakshi,consumer internet,AI Based Solutions Platform,Ahemadabad,Undisclosed,Seed/ Angel Funding,0.114811,8,2018
2018-08-17,EazyDiner,consumer internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5.85,8,2018
2018-08-20,Finzy,finance,Online Loan Matchmaking Platform,Bengaluru,Undisclosed,Seed / Angel Funding,1.0,8,2018
2018-08-20,RawPressery,consumer internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4.8,8,2018
2018-08-22,Pi Ventures,technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,6.0,8,2018
2018-08-22,Revv,consumer internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14.27,8,2018
2018-08-26,ZestMoney,consumer internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13.4,8,2018
2018-08-26,Shubh Loans,fintech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4.2,8,2018
